scenario,op,latency_ns
burst,post,24400
burst,post,3800
burst,post,1900
burst,post,1300
burst,post,1200
burst,post,1300
burst,post,1000
burst,post,1400
burst,post,900
burst,post,900
burst,post,1300
burst,post,900
burst,post,1300
burst,post,2300
burst,post,1000
burst,post,1700
burst,post,6700
burst,post,6400
burst,post,900
burst,post,1500
burst,post,1000
burst,post,1000
burst,post,1100
burst,post,1000
burst,post,1000
burst,post,1000
burst,post,1000
burst,post,1000
burst,post,1100
burst,post,2600
burst,post,1200
burst,post,1200
burst,post,1600
burst,post,1200
burst,post,4100
burst,post,1200
burst,post,1200
burst,post,1200
burst,post,1200
burst,post,1100
burst,post,1200
burst,post,1200
burst,post,1200
burst,post,1200
burst,post,1400
burst,post,1200
burst,post,1200
burst,post,6300
burst,post,1300
burst,post,1300
burst,post,1400
burst,post,1300
burst,post,1300
burst,post,1300
burst,post,1400
burst,post,1400
burst,post,1400
burst,post,1400
burst,post,1400
burst,post,4700
burst,post,1600
burst,post,1600
burst,post,1500
burst,post,1400
burst,post,1400
burst,post,1400
burst,post,1500
burst,post,1500
burst,post,1400
burst,post,1500
burst,post,1500
burst,post,1500
burst,post,1500
burst,post,1600
burst,post,1600
burst,post,3100
burst,post,1700
burst,post,1600
burst,post,1600
burst,post,1600
burst,post,1600
burst,post,1700
burst,post,1700
burst,post,1600
burst,post,1600
burst,post,1700
burst,post,1800
burst,post,1700
burst,post,1700
burst,post,1800
burst,post,1700
burst,post,1600
burst,post,1800
burst,post,1800
burst,post,1800
burst,post,1700
burst,post,1800
burst,post,1700
burst,post,1800
burst,post,1800
burst,post,1900
burst,post,1900
burst,post,1800
burst,post,1800
burst,post,1900
burst,post,2000
burst,post,1900
burst,post,1900
burst,post,2000
burst,post,3500
burst,post,1900
burst,post,1900
burst,post,1900
burst,post,2000
burst,post,2000
burst,post,2000
burst,post,3600
burst,post,2000
burst,post,1900
burst,post,2000
burst,post,2000
burst,post,2000
burst,post,2000
burst,post,2000
burst,post,2000
burst,post,2100
burst,post,2000
burst,post,6700
burst,post,2200
burst,post,2200
burst,post,2200
burst,post,2200
burst,post,2100
burst,post,2100
burst,post,2200
burst,post,2100
burst,post,2100
burst,post,2100
burst,post,2200
burst,post,2200
burst,post,2200
burst,post,2200
burst,post,2300
burst,post,2200
burst,post,2200
burst,post,2300
burst,post,2200
burst,post,2300
burst,post,2300
burst,post,2300
burst,post,2300
burst,post,2200
burst,post,2400
burst,post,2400
burst,post,2500
burst,post,2400
burst,post,2500
burst,post,5100
burst,post,2400
burst,post,2400
burst,post,2400
burst,post,2400
burst,post,2400
burst,post,2400
burst,post,2400
burst,post,2600
